"";"sku_item_set";"supplier_product_number";"supplier_product_name";"quantity";"supplier";"npp";"supplier_currency";"ppp";"ppp_original";"net_weight";"supplier_ean";"customs_id";"inbound_transport_costs";"payment_days";"eco_tax_incl_ppp";"quantity_supplier_product";"eco_mobilier_code";"eco-tax_amount";"ignore_line"
"";"DE16RDC05-171-A";"4343802";"Old English Vase, 19 cm";"1";"Rosendahl";"18.77";"EUR";"18.77";"18.77";"1230";"5706422999261";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-172-A";"4330401";"Minima Karaffe mit Deckel, klar, 55 cl";"1";"Rosendahl";"8.68";"EUR";"8.68";"8.68";"400";"5706422910112";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-173-A";"4330402";"Minima Karaffe mit Deckel, klar, 90 cl";"1";"Rosendahl";"9.73";"EUR";"9.73";"9.73";"500";"5706422910129";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-174-A";"4330403";"Minima Karaffe mit Deckel, klar, 140 cl";"1";"Rosendahl";"12.16";"EUR";"12.16";"12.16";"600";"5706422910136";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-175-A";"4340421";"Selandia Glasschale, blau, 31 cm";"1";"Rosendahl";"60.90";"EUR";"60.90";"60.90";"1810";"5705140399179";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-176-A";"4340425";"Selandia Glasschale, klar, 24 cm";"1";"Rosendahl";"34.78";"EUR";"34.78";"34.78";"300";"5706422017064";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-177-A";"4340427";"Selandia Glasschale, blau, 24 cm";"1";"Rosendahl";"43.50";"EUR";"43.50";"43.50";"300";"5706422017088";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-178-A";"4340428";"Selandia Glasschale, klar, 31 cm";"1";"Rosendahl";"46.98";"EUR";"46.98";"46.98";"1810";"5706422017095";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-179-A";"4800111";"Provence Jubiläumsglasschale, Braun, 15 cm";"1";"Rosendahl";"24.34";"EUR";"24.34";"24.34";"560";"5705140140016";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-180-A";"4353933";"Provence Glasschale, smoke, 31 cm";"1";"Rosendahl";"65.77";"EUR";"65.77";"65.77";"780";"5705140135173";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-181-A";"4352952";"Provence Glasschale, blau, 25 cm";"1";"Rosendahl";"43.50";"EUR";"43.50";"43.50";"2100";"5705140408376";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-182-A";"4352953";"Provence Glasschale, blau, 31 cm";"1";"Rosendahl";"65.77";"EUR";"65.77";"65.77";"2300";"5705140408390";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-183-A";"4353931";"Provence Glasschale, smoke, 19 cm";"1";"Rosendahl";"33.04";"EUR";"33.04";"33.04";"620";"5705140135159";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-184-A";"4353932";"Provence Glasschale, smoke Ø 25";"1";"Rosendahl";"43.50";"EUR";"43.50";"43.50";"800";"5705140135166";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-185-A";"4352951";"Provence Glasschale, blau, 19 cm";"1";"Rosendahl";"33.04";"EUR";"33.04";"33.04";"1700";"5705140408352";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-186-A";"4352923";"Provence Glasschalel, klar, 31 cm";"1";"Rosendahl";"57.42";"EUR";"57.42";"57.42";"3600";"5705140408222";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-187-A";"4352922";"Provence Glasschale, klar, 25 cm";"1";"Rosendahl";"37.93";"EUR";"37.93";"37.93";"1300";"5705140408208";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-188-A";"4352921";"Provence Glasschale, klar, 19 cm";"1";"Rosendahl";"27.82";"EUR";"27.82";"27.82";"1100";"5705140408185";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-189-A";"4301508";"Future Glas, 6-pack, 6 cl";"1";"Rosendahl";"6.94";"EUR";"6.94";"6.94";"650";"5706422910822";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-190-A";"4302370";"Future Glas, 6-pack, 25 cl";"1";"Rosendahl";"9.38";"EUR";"9.38";"9.38";"1000";"5706422001179";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-191-A";"4302371";"Future Glas, 4-pack, 37 cl";"1";"Rosendahl";"7.99";"EUR";"7.99";"7.99";"800";"5706422001186";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-192-A";"4304900";"Charlotte Amalie Rotwein, 23 cl";"2";"Rosendahl";"10.42";"EUR";"10.42";"10.42";"200";"5705140391128";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-193-A";"4304902";"Charlotte Amalie Weißwein, 13 cl";"2";"Rosendahl";"10.42";"EUR";"10.42";"10.42";"200";"5705140391142";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-194-A";"4304904";"Charlotte Amalie Süßwein, 8 cl";"2";"Rosendahl";"9.73";"EUR";"9.73";"9.73";"200";"5705140391166";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-195-A";"4304935";"Charlotte Amalie Champagne, 27 cl";"2";"Rosendahl";"10.42";"EUR";"10.42";"10.42";"300";"5705140391227";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-196-A";"4343600";"Charlotte Amalie Kerzenständer, klar, H 16 cm";"1";"Rosendahl";"13.90";"EUR";"13.90";"13.90";"400";"5706422017248";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-197-A";"4343601";"Charlotte Amalie Kerzenständer, klar, H 24 cm";"1";"Rosendahl";"23.99";"EUR";"23.99";"23.99";"600";"5706422017255";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-198-A";"4802319";"Perfection Karaffe, 220 cl";"1";"Rosendahl";"19.12";"EUR";"19.12";"19.12";"1000";"5706422910518";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-199-A";"4802418";"Perfection Wasser, 1 Stck., 23 cl";"6";"Rosendahl";"3.48";"EUR";"3.48";"3.48";"1030";"5706422911072";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-200-A";"4802422";"Perfection Schnaps, 1 Stck., 5,5 cl";"6";"Rosendahl";"3.48";"EUR";"3.48";"3.48";"90";"5706422999056";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-201-A";"4802423";"Perfection Wasser, 1 Stck., 45 cl";"6";"Rosendahl";"3.48";"EUR";"3.48";"3.48";"240";"5706422999094";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-202-A";"4802419";"Perfection Cognac, 1 Stck., 36 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"180";"5706422911317";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-203-A";"4802421";"Perfection Martini, 1 Stck., 29 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"180";"5706422912000";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-204-A";"4802415";"Perfection Champagne, 1 Stck., 23 cl";"6";"Rosendahl";"3.48";"EUR";"3.48";"3.48";"200";"5706422465087";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-205-A";"4802412";"Perfection Burgunder, 1 Stck., 59 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"200";"5706422465063";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-206-A";"4802411";"Perfection Rotwein, 1 Stck., 43 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"180";"5706422465056";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-207-A";"4802414";"Perfection Cocktail, 1 Stck., 38 cl";"6";"Rosendahl";"4.64";"EUR";"4.64";"4.64";"180";"5706422911003";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-208-A";"4802413";"Perfection Weisswein, 1 Stck., 32 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"200";"5706422465070";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-209-A";"4803115";"Bouquet Champagnerglas, 1 Stck., 29 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"180";"5706422999162";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-210-A";"4803114";"Bouquet Wasserglas, 1 Stck., 38 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"160";"5706422999155";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-211-A";"4803113";"Bouquet Weinglas, 1 Stck., 62 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"260";"5706422999148";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-212-A";"4803112";"Bouquet Weinglas, 1 Stck., 41 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"203";"5706422999131";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-213-A";"4803116";"Bouquet Bier, 6 Stck., 53 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"220";"5705140256373";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-214-A";"4803118";"Bouquet Likör, 6 Stck., 24 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"100";"5705140256397";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-215-A";"4803111";"Bouquet Weinglas, 1 Stck., 32 cl";"6";"Rosendahl";"4.06";"EUR";"4.06";"4.06";"185";"5706422999124";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-216-A";"4343618";"Lumi Kerzenständer, einarmig, 9 cm, schwarz";"1";"Rosendahl";"12.16";"EUR";"12.16";"12.16";"300";"5706422101497";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-217-A";"4343620";"Lumi Kerzenständer, einarmig, 12,5 cm, schwarz";"1";"Rosendahl";"13.90";"EUR";"13.90";"13.90";"340";"5706422101480";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-218-A";"4343640";"Lumi Kerzenständer, 4-armig, schwarz";"1";"Rosendahl";"23.65";"EUR";"23.65";"23.65";"650";"5706422101787";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-219-A";"4802320";"Perfection Karaffe Halter";"1";"Rosendahl";"9.38";"EUR";"9.38";"9.38";"240";"5706422910853";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-220-A";"4341400";"JEB 65 Vase, weiss, H 21 cm *";"1";"Rosendahl";"18.08";"EUR";"18.08";"18.08";"1000";"5706422902940";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-221-A";"4341402";"JEB 65 Vase, weiss, H 14,8 cm *";"1";"Rosendahl";"11.81";"EUR";"11.81";"11.81";"1000";"5706422902964";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-222-A";"4800320";"Annual Christmas Star 2016";"1";"Rosendahl";"4.85";"EUR";"4.85";"4.85";"340";"5706422101060";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-223-A";"4800321";"Annual Christmas Icicle 2016";"1";"Rosendahl";"4.85";"EUR";"4.85";"4.85";"340";"5706422101077";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-224-A";"4800322";"Annual Christmas Heart 2016";"1";"Rosendahl";"4.85";"EUR";"4.85";"4.85";"340";"5706422101084";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-225-A";"4800323";"Annual Christmas Bell 2016";"1";"Rosendahl";"4.85";"EUR";"4.85";"4.85";"340";"5706422101091";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-226-A";"4800324";"Holmegaard Christmas, Annual Christmas Ball 2016";"1";"Rosendahl";"4.85";"EUR";"4.85";"4.85";"340";"5706422101107";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-227-A";"4800341";" Christmas Biscuit Jar 2016";"1";"Rosendahl";"19.12";"EUR";"19.12";"19.12";"340";"5706422101121";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-228-A";"4800342";"Christmas bottle 2016, 65 cl";"1";"Rosendahl";"13.21";"EUR";"13.21";"13.21";"340";"5706422101138";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-229-A";"4800343";"Christmas dram glass 2016, 2 pcs.";"1";"Rosendahl";"6.94";"EUR";"6.94";"6.94";"340";"5706422101145";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-230-A";"4800344";"Christmas water glass 2016";"1";"Rosendahl";"5.20";"EUR";"5.20";"5.20";"340";"5706422101152";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-231-A";"4800345";"Christmas tealights, 2 pcs.";"1";"Rosendahl";"9.73";"EUR";"9.73";"9.73";"340";"5706422101169";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-232-A";"4800346";"Christmas advent candle 2016";"1";"Rosendahl";"4.51";"EUR";"4.51";"4.51";"340";"5706422101176";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-233-A";"4800347";"Christmas bowl 2016";"1";"Rosendahl";"7.29";"EUR";"7.29";"7.29";"340";"5706422101183";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-234-A";"4800348";"Christmas hot drink 2016, 2 pcs.";"1";"Rosendahl";"9.38";"EUR";"9.38";"9.38";"340";"5706422101244";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-235-A";"4343626";"Lumi Candle-cuffs, curved, clear";"2";"Rosendahl";"1.37";"EUR";"1.37";"1.37";"280";"5706422101411";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-236-A";"4343629";"Lumi Candle-cuffs, curved, smoke";"2";"Rosendahl";"1.37";"EUR";"1.37";"1.37";"280";"5706422101435";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-237-A";"4343630";"Lumi Candle-cuffs, curved, brown";"2";"Rosendahl";"1.37";"EUR";"1.37";"1.37";"280";"5706422101442";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-238-A";"4343643";"Lumi Candle-cuffs flat, clear";"2";"Rosendahl";"1.37";"EUR";"1.37";"1.37";"280";"5706422101794";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-239-A";"4343644";"Lumi Candle -cuffs, flat, smoke";"2";"Rosendahl";"1.37";"EUR";"1.37";"1.37";"280";"5706422101800";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-240-A";"4343645";"Lumi Candle cuffs, flat, brown";"2";"Rosendahl";"1.37";"EUR";"1.37";"1.37";"280";"5706422101817";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-241-A";"4343647";"Lumi Candle cuffs, flat, green";"2";"Rosendahl";"1.37";"EUR";"1.37";"1.37";"280";"5706422101831";"";"0";"60";"";"";"";"";"0"
"";"DE16RDC05-242-A";"4343649";"Lumi Candle cuffs, flat, red";"2";"Rosendahl";"1.37";"EUR";"1.37";"1.37";"280";"5706422101855";"";"0";"60";"";"";"";"";"0"
